goos: linux
goarch: amd64
pkg: github.com/exergy-dev/go-topology-suite/buffer
cpu: Intel(R) Core(TM) i9-14900KF
BenchmarkDifference/ngon/n=8192-32          	      51	  21901348 ns/op	17616106 B/op	   91083 allocs/op
BenchmarkDifference/ngon/n=8192-32          	      54	  21924352 ns/op	17616102 B/op	   91083 allocs/op
BenchmarkDifference/star/n=64-32            	    3008	    382421 ns/op	  275518 B/op	    2282 allocs/op
BenchmarkDifference/star/n=64-32            	    3002	    382530 ns/op	  275518 B/op	    2282 allocs/op
BenchmarkDifference/star/n=64-32            	    3188	    382984 ns/op	  275517 B/op	    2282 allocs/op
BenchmarkDifference/star/n=64-32            	    3214	    390486 ns/op	  275518 B/op	    2282 allocs/op
BenchmarkDifference/star/n=64-32            	    3183	    385492 ns/op	  275518 B/op	    2282 allocs/op
BenchmarkDifference/star/n=64-32            	    3096	    386081 ns/op	  275518 B/op	    2282 allocs/op
BenchmarkDifference/star/n=64-32            	    3217	    379635 ns/op	  275518 B/op	    2282 allocs/op
BenchmarkDifference/star/n=64-32            	    3142	    376681 ns/op	  275518 B/op	    2282 allocs/op
BenchmarkDifference/star/n=64-32            	    3194	    373017 ns/op	  275517 B/op	    2282 allocs/op
BenchmarkDifference/star/n=64-32            	    3241	    373607 ns/op	  275518 B/op	    2282 allocs/op
BenchmarkDifference/star/n=1024-32          	       4	 253444324 ns/op	35345776 B/op	  291036 allocs/op
BenchmarkDifference/star/n=1024-32          	       4	 251345719 ns/op	35419676 B/op	  291040 allocs/op
BenchmarkDifference/star/n=1024-32          	       4	 250899086 ns/op	35376628 B/op	  291042 allocs/op
BenchmarkDifference/star/n=1024-32          	       4	 257083274 ns/op	35444244 B/op	  291041 allocs/op
BenchmarkDifference/star/n=1024-32          	       4	 254062281 ns/op	35388856 B/op	  291039 allocs/op
BenchmarkDifference/star/n=1024-32          	       4	 251504700 ns/op	35428928 B/op	  291042 allocs/op
BenchmarkDifference/star/n=1024-32          	       4	 250792947 ns/op	35316508 B/op	  291038 allocs/op
BenchmarkDifference/star/n=1024-32          	       4	 251081093 ns/op	35376520 B/op	  291036 allocs/op
BenchmarkDifference/star/n=1024-32          	       4	 253804905 ns/op	35385732 B/op	  291037 allocs/op
BenchmarkDifference/star/n=1024-32          	       4	 251426266 ns/op	35364360 B/op	  291039 allocs/op
BenchmarkUnaryUnion/grid/n=16-32            	    3553	    356072 ns/op	  314663 B/op	    3518 allocs/op
BenchmarkUnaryUnion/grid/n=16-32            	    3573	    355239 ns/op	  314663 B/op	    3518 allocs/op
BenchmarkUnaryUnion/grid/n=16-32            	    3312	    353302 ns/op	  314663 B/op	    3518 allocs/op
BenchmarkUnaryUnion/grid/n=16-32            	    3334	    353511 ns/op	  314663 B/op	    3518 allocs/op
BenchmarkUnaryUnion/grid/n=16-32            	    3242	    358017 ns/op	  314662 B/op	    3518 allocs/op
BenchmarkUnaryUnion/grid/n=16-32            	    3133	    356195 ns/op	  314663 B/op	    3518 allocs/op
BenchmarkUnaryUnion/grid/n=16-32            	    3322	    353015 ns/op	  314663 B/op	    3518 allocs/op
BenchmarkUnaryUnion/grid/n=16-32            	    3282	    358185 ns/op	  314663 B/op	    3518 allocs/op
BenchmarkUnaryUnion/grid/n=16-32            	    3516	    352995 ns/op	  314663 B/op	    3518 allocs/op
BenchmarkUnaryUnion/grid/n=16-32            	    3496	    351084 ns/op	  314663 B/op	    3518 allocs/op
BenchmarkUnaryUnion/grid/n=64-32            	     516	   2372476 ns/op	 1857624 B/op	   17448 allocs/op
